OBAGS001;TESR1;018;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG EN TISSU COTTON CORDUROY;UNICA;5;10,800;54,00
OBAGS001;TESR1;086;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG EN TISSU COTTON CORDUROY;UNICA;2;10,800;21,60
OBAGS001;TESR1;258;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG EN TISSU COTTON CORDUROY;UNICA;8;10,800;86,40
OBAGS002;TESR1;018;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG MINI EN TISSU COTTON CORDUROY;UNICA;3;9,000;27,00
OBAGS002;TESR1;055;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG MINI EN TISSU COTTON CORDUROY;UNICA;5;9,000;45,00
OBAGS002;TESR1;086;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG MINI EN TISSU COTTON CORDUROY;UNICA;5;9,000;45,00
OBAGS002;TESR1;258;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG MINI EN TISSU COTTON CORDUROY;UNICA;3;9,000;27,00
SHOUX101;ECS00;018;BANDOULIÈRE EXTRASLIM 110 + ANSES TUBULAIRES + CLIP FAUX CUIR;UNICA;2;18,960;37,92
ACCEC020;EVS47;055;ACCESSOIRE POMPON + NŒUD EVA COMPOUND + FAUSSE FOURRURE RENARD;UNICA;15;5,900;88,50
ACCEC020;EVS47;076;ACCESSOIRE POMPON + NŒUD EVA COMPOUND + FAUSSE FOURRURE RENARD;UNICA;10;5,900;59,00
 
ACCEC020;EVS47;371;ACCESSOIRE POMPON + NŒUD EVA COMPOUND + FAUSSE FOURRURE RENARD;UNICA;10;5,900;59,00
HLESCE01;ECS00;055;ANSES DOUBLE CHAÎNE EN « T » EN FAUX CUIR;UNICA;10;12,660;126,60
HLESF800;ECS94;055;ANSES COURTES AVEC BOUCLE FAUX CUIR EFFET GRIFFÉ + STRASS;UNICA;10;9,000;90,00
HLESF800;ECS94;559;ANSES COURTES AVEC BOUCLE FAUX CUIR EFFET GRIFFÉ + STRASS;UNICA;6;9,000;54,00
OBAGB001;EVS00;076;CORPS O BAG EVA COMPOUND;UNICA;4;14,400;57,60
OBAGB002;EVS00;076;CORPS O BAG MINI EVA COMPOUND;UNICA;5;14,400;72,00
OBAGB024;EVS00;076;CORPS O POCKET MICRO EVA COMPOUND;UNICA;5;4,800;24,00
OBAGC101;FAS01;055;COVER O BAG EN FAUSSE FOURRURE LAPIN;UNICA;6;29,400;176,40
OBAGC101;FAS01;371;COVER O BAG EN FAUSSE FOURRURE LAPIN;UNICA;4;29,400;117,60
OBAGC102;FAS01;055;COVER O BAG MINI EN FAUSSE FOURRURE LAPIN;UNICA;6;25,680;154,08
OBAGC102;FAS01;371;COVER O BAG MINI EN FAUSSE FOURRURE LAPIN;UNICA;4;25,680;102,72
OBAGP006;TEST5;055;RABAT O POCKET EN TISSU LAINE TRESSÉE + BIJOUX;UNICA;6;12,100;72,60
OBAGPA24;TEST9;017;RABAT TOURNIQUET O POCKET MICRO VELOURS + BIJOUX;UNICA;3;11,200;33,60
OBAGPA24;TEST9;018;RABAT TOURNIQUET O POCKET MICRO VELOURS + BIJOUX;UNICA;4;11,200;44,80
OBAGPA24;TEST9;055;RABAT TOURNIQUET O POCKET MICRO VELOURS + BIJOUX;UNICA;4;11,200;44,80
OBAGPA24;TEST9;134;RABAT TOURNIQUET O POCKET MICRO VELOURS + BIJOUX;UNICA;3;11,200;33,60
 
OCLKD001;MESC2;055;Qté Prix Remises Montant Cadeau;UNICA;15;10,900;163,50
OCLKD001;MESC2;076;Récapitulatifs douaniers;UNICA;10;10,900;109,00
OCLKD001;MESC2;389;NR 61,00 61,000 1,000;UNICA;15;10,900;163,50
 
