ANSES/PLAGOUBAND;0;20,4;60
ANSES/RONDES;XS;0;0
ANSES/RONDES;S;7,24;30
ANSES/RONDES;M;0;0
ANSES/RONDES;L;8,96;30
ANSES/RONDES;XL;0;0
ANSES/SQUARE;0;25,8;65
ANSES/STRASS;0;9;30
ANSES/TISSU;XS;7,37;20
ANSES/TISSU;S;7,37;20
ANSES/TISSU;M;7,37;20
ANSES/TISSU;L;7,37;20
ANSES/TISSU;XL;7,37;20
ANSES/TUB/FOU;0;7,8;23
ANSES/VERNIS;0;9,6;30
ANSES:CHAINE+ECO;0;9,78;30
ANSESANGULAIRES;XS;10,8;30
ANSESANGULAIRES;S;10,8;30
ANSESANGULAIRES;M;10,8;30
ANSESANGULAIRES;L;10,8;30
ANSESANGULAIRES;XL;10,8;30
ANSESANGULAIREXS;S;9,36;30
ANSESANGULAIREXS;M;0;0
ANSESANGULAIREXS;L;10,8;30
ANSESANGULAIREXS;XL;0;0
ANSESCHAINES/GO;0;14,4;42
ANSESLONGUESSUED;0;14,52;44
ANSESTUB/BANDOUL;0;18,96;57
ANSESZAINO;0;10,44;35
ATTACHESCHAINE;0;3,02;10
ATTACHESOPOCKET;0;3,6;15
BANDOBASKET;0;7,92;25
BANDOBODY;0;6;15
BANDOECO+CHAINE;S;10,8;33
BANDOECO+CHAINE;M;10,8;33
BANDOECO+CHAINE;L;10,8;33
BANDOFOLDER;0;9,96;30
BANDOGLAM;0;9,6;30
BANDOGOUTTE;0;16,56;50
BANDOMINIFOLDER;0;9,96;30
BANDOMOON;0;10,2;30
BANDOMOONLIGHT;0;7,2;26
BANDOSWING;0;7,78;24
BANDOULIERE;0;7,8;25
BORCHIECOFOU;0;21;65
BORCHIETNICO;0;12,72;36
BORCHIFOU;0;36;90
BORCHILAI;0;8,88;25
BORCHISUEDINE;0;18,6;55
BORDOCHIC;0;12,72;40
BORDOCITY;0;11,76;35
BORDOFIFTY;0;13,32;40
BORDOKNITFOU;0;24,24;70
BORDOURBAN;0;9,66;29
BORDURES;0;12,72;36
BORDURES/LAINE;0;14,52;44
BOROKNITMINI;0;9,66;29
BRACELET;XS;3,6;13
BRACELET;S;3,6;13
BRACELET;M;3,6;13
BRACELET;L;3,6;13
BRACELET;XL;3,6;13
BRACELETFOULARD;0;7,08;20
BRACELETGREAT;XS;3,6;13
BRACELETGREAT;S;3,6;13
BRACELETGREAT;M;3,6;13
BRACELETGREAT;L;3,6;13
BRACELETGREAT;XL;3,6;13
BRACELETOPALINO;XS;3,6;13
BRACELETOPALINO;S;3,6;13
BRACELETOPALINO;M;3,6;13
BRACELETOPALINO;L;3,6;13
BRACELETOPALINO;XL;3,6;13
BRACELETWICKER;XS;4,08;13
BRACELETWICKER;S;4,08;13
BRACELETWICKER;M;4,08;13
BRACELETWICKER;L;4,08;13
BRACELETWICKER;XL;4,08;13
BRAFLEUR;XS;0;0
BRAFLEUR;S;4,56;12
BRAFLEUR;M;4,56;12
BRAFLEUR;L;0;0
BRAFLEUR;XL;0;0
BRAFLEURSL;XS;0;0
BRAFLEURSL;S;3,07;12
BRAFLEURSL;M;3,07;12
BRAFLEURSL;L;0;0
BRAFLEURSL;XL;0;0
BRAKNOTDOUBLE;S;3,6;12
BRAKNOTDOUBLE;M;3,6;12
BRAKNOTDOUBLE;L;3,6;12
BRAKNOTDOUBLE;XL;3,6;12
BRAKNOTSINGLE;S;3,6;12
BRAKNOTSINGLE;M;3,6;12
BRAKNOTSINGLE;L;3,6;12
BRAKNOTSINGLE;XL;3,6;12
BRAN;0;4,8;10
BRAN/AVIATOR;0;4,8;15
CANOBASKET;0;9,6;25
CANOBEACH;0;11,85;35
CANOCHIC;0;9,6;25
CANOCITY;0;29,4;80
CANOFIFTY;0;6,85;30
CANOFOLDER;0;7,8;25
CANOGLAM;0;9;27
CANOKNITMINI;0;10,8;33
CANOMICROBEACH;0;9,72;30
CANOMINIFOLDER;0;10,8;30
CANOMOON;0;12,72;39
CANOMOONLIGHT;0;10,44;31
CANOSAND;0;11,85;36
CANOSQUARE;0;12,6;36
CANOSWING;0;12,6;39
CANOTWIST;0;13,33;40
CANOTWISTMINI;0;13,33;40
CANURBAN;0;14,16;42
CANVAS;0;7,8;25
CHAINE;0;7,2;25
CHAINEPLEXI;S;11,2;33
CHAINEPLEXI;M;11,2;33
CHAINEPLEXI;L;9,9;33
CHAINEPLEXI;XL;11,2;33
CHARM;0;5,26;15
CHARMCERCLE;0;5,64;16
CHARMPOMPON;0;7,44;22
CLIP;0;3,6;12
COLLIER;0;5,91;16
COQUOPOCKET;0;4,8;18
COUVECOFOUR;0;29,4;88
DECOSHOES;0;7,54;20
DRAPPLAGE;0;11,85;36
ECOFOURRURE;0;24;70
ECOFOURRURESOBAG;0;18,48;56
ETUILUNETTES;0;9,6;29
EXTENSIONCHAINE;0;3,6;10
FERMETURE;0;14,08;35
FERMETUREPOCHE;0;15,6;45
FERMOCITY;0;10,56;35
FILET;0;18,96;50
FLAP;0;16,56;49
FLAPDISNEY;0;14,4;44
FLAPECO;0;18;54
FLAPECOFOU;0;18;54
FLAPMICRO;0;11,2;36
FLAPMINIOFOLDER;0;17,28;55
FLAPNOEL2017;0;21,6;60
FLAPOFOLDER;0;9,23;30
FLAPOGLAM;0;14,04;42
FLAPOHUG;0;6,6;20
FLAPOHUGMEN;0;60;20
FRANGES/ANSES;0;10,8;30
KITZAINO;0;15;45
LAPIN;0;36;95
LOUP;0;78,48;240
MARMOTTE;0;64,56;200
MICROOBEACH;0;10,68;33
MICROOPOCKET;0;4,8;14
MINIBODYCRYSTMAT;0;36,6;110
MINIBOR;0;12,6;38
MINICANOBEACH;0;11,85;36
MINICANVAS;0;10,8;30
MINICANVASCOU;0;14,4;40
MINICOUVECO;0;25,68;75
MINIECOFOURRURE;0;18,48;55
MINIFERMETURE;0;10,8;30
MINIFERMETUREPOC;0;14,4;45
MINIOBEACH;0;11,88;36
MINIOBODY;0;14,4;42
MINIOBODYCHEVRON;0;15,6;49
MINIOFOLDER;0;14,4;42
MONTURE;0;8,88;25
MONTURE/AVIATOR;0;8,88;25
OBAGBEACH;0;11,34;35
OBALI;0;20;60
OBASKET;0;9,66;40
OBODY;0;14,4;42
OBODYPIRAMIDE;0;33;99
OBODYWAVY;0;14,4;45
OCHIC;0;10,08;42
OCHIVESOLID;0;12;36
OCITY;0;9,16;40
OCLICK;0;12;35
OCLICKSOLID;0;12;36
OCLICKSUNLIGHT;0;10,2;35
OCLOCK;0;6,6;25
OCLOCK'80;0;6,6;25
OCLOCK/BOTANICAL;0;6,6;25
OCLOCK/CAMOUFLAG;0;6,6;25
OCLOCK/CHIFFRES;0;6,6;25
OCLOCK/CITY;0;6,6;25
OCLOCK/CRYSTAL;0;9;35
OCLOCK/DISNEY;0;7,2;25
OCLOCK/ETE2018;0;7,08;25
OCLOCK/FABRICS;0;6,6;25
OCLOCK/FALL2018;0;8,64;26
OCLOCK/GLIMMER;0;9;30
OCLOCK/ILLUSION;0;6,6;25
OCLOCK/MIROIR;0;6,6;25
OCLOCK/MOSAIC;0;9;30
OCLOCK/PATTERN;0;6,6;25
OCLOCK/PIPE;0;9,36;30
OCLOCK/ROSONE;0;9;30
OCLOCK/SAFARI;0;6,6;25
OCLOCK/SECCHIF;0;6,6;25
OCLOCK/SLICE;0;6,6;25
OCLOCK/SPLASH;0;6,6;25
OCLOCK/SUNLIGHT;0;6,6;25
OCLOCK/SUPREME;0;9,36;30
OCLOCK/TILES;0;6,6;25
OCLOCK/TROT;0;6,6;25
OCLOCKDIGITAL;0;6,6;25
OCLOCKFALL2017;0;6,84;25
OCLOCKGREAT/FANT;0;8,4;28
OCLOCKGREAT/TON;0;8,4;30
OCLOCKGREATCALEN;0;18;55
OCLOCKGREATCOCO;0;15,2;45
OCLOCKGREATCOKTA;0;8,4;25
OCLOCKGREATDATE;0;18;55
OCLOCKGREATDIAMO;0;18;55
OCLOCKGREATNUMSO;0;8,4;25
OCLOCKGREATRACIN;0;18;55
OCLOCKGREATSECON;0;8,4;25
OCLOCKGREATSOLEI;0;8,4;35
OCLOCKGREATSUNLI;0;8,4;30
OCLOCKNOEL2017;0;9;30
OCLOCKNOEL2018;0;6,7;25
OCLOCKPEOPLE;0;6,6;25
OCLOCKTARTAN;0;6,6;25
OCLOCKWALL;0;20,16;64
OEATATTACHE;0;2,64;8
OEATCOQUE;0;3,6;11
OFIFTY;0;14,4;42
OFIFTYFIORI;0;20;60
OFIFTYFLOWERS;0;24;72
OFIFTYSOFT;0;36,6;72
OFOLDER;0;14,4;42
OGLAM;0;11,88;36
OGREAT/ETE2018;0;8,4;25
OGREAT/FALL2018;0;19,2;55
OGREATNOEL17;0;8,4;30
OHUG;0;19,2;58
OJOYBASE;0;6,96;21
OJOYCABLE;0;0,67;2
OJOYENCEINTE;0;13,8;39
OJOYTIGE;0;11,4;34
OKNITMINI;0;14,16;42
OMOON;0;12,6;42
OMOONCRYSTAL;0;36,6;110
OMOONLIGHT;0;11,04;38
OMOONMATELASSE;0;13,8;45
OMOONPINS;0;29,4;88
ONE;0;31,8;95
ONEBODY;0;12,78;30
OPOCKET;0;4,8;18
OSAND;0;16,67;50
OSHIFTBRACELET;0;2,52;9
OSHIFTCADRAN;0;1,92;6
OSHOES;35/36;9,96;29
OSHOES;37;9,96;29
OSHOES;38;9,96;29
OSHOES;39;9,96;29
OSHOES;39/40;9,96;29
OSHOES;40;9,96;29
OSHOES;41;9,96;29
OSHOES;41/42;9,96;29
OSHOES;42;9,96;29
OSHOES;43;9,96;29
OSHOES;44;9,96;29
OSHOES;45/46;9,96;29
OSHOESFLOWER;35/36;17,4;50
OSHOESFLOWER;37;17,4;50
OSHOESFLOWER;38;17,4;50
OSHOESFLOWER;39;17,4;50
OSHOESFLOWER;39/40;17,4;50
OSHOESFLOWER;40;17,4;50
OSHOESFLOWER;41;0;0
OSHOESFLOWER;41/42;0;0
OSHOESFLOWER;42;0;0
OSHOESFLOWER;43;0;0
OSHOESFLOWER;44;0;0
OSHOESFLOWER;45/46;0;0
OSWING;0;11,88;36
OTWIST;0;16,67;50
OTWISTMINI;0;15,56;47
OURBAN;0;14,16;42
PATTAOCITY;0;7,68;23
PINSBODY;0;3;8
POCHCARTECREDIT;0;7,14;20
POCHEEXTERIEURE;0;9,6;27
POCHETTE;0;11,88;35
POCHETTE/ETE2017;0;10,08;30
POCHETTE/ETE2018;0;13,32;35
POCHETTE/HIVER17;0;14,4;40
POCHETTEENDUITE;XS;0;0
POCHETTEENDUITE;S;7,49;20
POCHETTEENDUITE;M;0;0
POCHETTEENDUITE;L;9,42;30
POCHETTEENDUITE;XL;0;30
POCHETTEFEU;0;8,16;25
POCHETTEPHONE;0;7,44;25
POCHETTEPVC;0;11,7;38
POCHFOLDER;0;5,4;15
POMPON;0;7,08;21
POMPONETE2018;0;7,8;24
POMPONNOEL2018;0;5,9;18
PORTE-CLEFSNOEL;0;3,52;9
PORTE-CLESETE2;0;4,44;14
PORTECLES;0;7,8;21
PORTECLESDISNEY;0;8,16;24
RABANNE;0;3;10
VERRES;0;7,82;25
VERRESAVIATOR;0;10,32;30
VISON;0;64,56;200
WOOL;0;10,8;35
 
Source : EDITARSTO_PCOBAG01_20181220135637.csv
Sortie : /tmp/null, tarifValmag.csv
